Object 1 , Object 2, Relations
 ,RCC8, 
110111,110112,null
110111,110113,dc
110111,110114,dc
110111,110115,dc
110111,110116,dc
110111,110117,dc
110111,110118,dc
110111,110119,dc
110111,110120,dc
110111,110121,dc
110111,110122,dc
110111,110123,dc
110111,110124,dc
110111,110125,dc
110111,110126,dc
110111,110127,dc
110111,110128,dc
110111,110129,dc
110111,110130,dc
110111,110131,dc
110111,110132,dc
110111,110133,dc
110111,110134,dc
110111,110135,dc
110111,110136,dc
110111,110137,dc
110111,110138,dc
110111,110139,dc
110111,110140,dc
110111,110141,dc
110111,110142,dc
110111,110143,dc
110111,110144,dc
110111,110145,dc
110111,110146,dc
110111,110147,dc
110111,110148,dc
110111,110149,dc
110111,110150,dc
110111,110151,dc
110111,110152,dc
110111,110153,dc
110111,110154,dc
110111,110155,dc
110111,110156,dc
110111,110157,dc
110111,110158,dc
110111,110159,dc
110111,110160,dc
110111,110161,dc
110111,110162,dc
110111,110163,dc
110111,110164,dc
110111,110165,dc
110111,110166,dc
110111,110167,dc
110111,110168,dc
110111,110169,dc
110111,110170,dc
110111,110171,dc
110111,110172,dc
110111,110173,dc
110111,110174,dc
110111,3,dc
110111,16,dc
110111,25,dc
110111,26,dc
110111,27,dc
110111,28,dc
110111,36,dc
110111,24,dc
110112,110113,dc
110112,110114,dc
110112,110115,dc
110112,110116,dc
110112,110117,dc
110112,110118,dc
110112,110119,dc
110112,110120,dc
110112,110121,dc
110112,110122,dc
110112,110123,dc
110112,110124,dc
110112,110125,dc
110112,110126,dc
110112,110127,dc
110112,110128,dc
110112,110129,dc
110112,110130,dc
110112,110131,dc
110112,110132,dc
110112,110133,dc
110112,110134,dc
110112,110135,dc
110112,110136,dc
110112,110137,dc
110112,110138,dc
110112,110139,dc
110112,110140,dc
110112,110141,dc
110112,110142,dc
110112,110143,dc
110112,110144,dc
110112,110145,dc
110112,110146,dc
110112,110147,dc
110112,110148,dc
110112,110149,dc
110112,110150,dc
110112,110151,dc
110112,110152,dc
110112,110153,dc
110112,110154,dc
110112,110155,dc
110112,110156,dc
110112,110157,dc
110112,110158,dc
110112,110159,dc
110112,110160,dc
110112,110161,dc
110112,110162,dc
110112,110163,dc
110112,110164,dc
110112,110165,dc
110112,110166,dc
110112,110167,dc
110112,110168,dc
110112,110169,dc
110112,110170,dc
110112,110171,dc
110112,110172,dc
110112,110173,dc
110112,110174,dc
110112,3,dc
110112,16,dc
110112,25,dc
110112,26,null
110112,27,dc
110112,28,dc
110112,36,dc
110112,24,dc
110113,110114,null
110113,110115,ec
110113,110116,dc
110113,110117,dc
110113,110118,dc
110113,110119,dc
110113,110120,dc
110113,110121,dc
110113,110122,dc
110113,110123,dc
110113,110124,dc
110113,110125,dc
110113,110126,dc
110113,110127,dc
110113,110128,dc
110113,110129,dc
110113,110130,dc
110113,110131,dc
110113,110132,dc
110113,110133,dc
110113,110134,dc
110113,110135,dc
110113,110136,dc
110113,110137,dc
110113,110138,dc
110113,110139,dc
110113,110140,dc
110113,110141,dc
110113,110142,dc
110113,110143,dc
110113,110144,dc
110113,110145,dc
110113,110146,dc
110113,110147,dc
110113,110148,dc
110113,110149,dc
110113,110150,dc
110113,110151,dc
110113,110152,dc
110113,110153,dc
110113,110154,dc
110113,110155,dc
110113,110156,dc
110113,110157,dc
110113,110158,dc
110113,110159,dc
110113,110160,dc
110113,110161,dc
110113,110162,dc
110113,110163,dc
110113,110164,dc
110113,110165,dc
110113,110166,dc
110113,110167,dc
110113,110168,dc
110113,110169,dc
110113,110170,dc
110113,110171,dc
110113,110172,dc
110113,110173,dc
110113,110174,dc
110113,3,dc
110113,16,dc
110113,25,dc
110113,26,dc
110113,27,dc
110113,28,dc
110113,36,dc
110113,24,dc
110114,110115,null
110114,110116,null
110114,110117,dc
110114,110118,null
110114,110119,dc
110114,110120,dc
110114,110121,dc
110114,110122,dc
110114,110123,dc
110114,110124,dc
110114,110125,dc
110114,110126,dc
110114,110127,dc
110114,110128,dc
110114,110129,dc
110114,110130,dc
